
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048072                       # Number of seconds simulated (Second)
simTicks                                  48071764000                       # Number of ticks simulated (Tick)
finalTick                                11997222411500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1005.94                       # Real time elapsed on the host (Second)
hostTickRate                                 47787914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9899644                       # Number of bytes of host memory used (Byte)
simInsts                                    200000004                       # Number of instructions simulated (Count)
simOps                                      302359584                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     300574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96143528                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.080223                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       226480357                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      226439695                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    709                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               258433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316828                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 624                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95738351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.365193                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.680542                       # Number of insts issued each cycle (Count)
system.cpu.commitStats0.committedInstType::IprAccess            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIntegerArith            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorFloatArith            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorFloatConvert            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIntegerReduce            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorFloatReduce            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorMisc            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIntegerExtension            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorConfig            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::total    226226310                       # Class of committed instruction. (Count)
system.cpu.commitStats0.committedControl::IsControl      2111706                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsDirectControl      2035184                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsIndirectControl        76407                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCondControl      1870517                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsUncondControl       241178                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCall        74067                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsReturn        74067                       # Class of control type instructions committed (Count)
system.cpu.decode.idleCycles                 16603482                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles              45654614                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                  32440254                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles               1029112                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                  10889                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved              1601703                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                  1275                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts              226622753                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                  6666                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts           226385838                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches          2118232                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts        38756418                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts       12033917                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            2.354665                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads       10615872                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites       4112115                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegReads      355591862                       # Number of times the floating registers were read (Count)
system.cpu.executeStats0.numFpRegWrites     198936016                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads      65118416                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites     12471502                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs          50790335                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads     56188775                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites         1720                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches            1704302                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                      81495396                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                   24302                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                10222                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles            33                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.cacheLines                  14023383                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                  2593                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples           95738351                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              2.368878                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.464429                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                 61810296     64.56%     64.56% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                  2062122      2.15%     66.72% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                  1795523      1.88%     68.59% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                  1064931      1.11%     69.70% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                   782111      0.82%     70.52% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                  1465232      1.53%     72.05% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                  2227596      2.33%     74.38% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                  2119987      2.21%     76.59% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                 22410553     23.41%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total             95738351                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts             150241769                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.562682                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches            2162362                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.022491                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles     14220549                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                     10889                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                     258349                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                  9395175                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts              226484740                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                 2350                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                 38765279                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                12043264                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                  1704                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                      1566                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                  9338327                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents           3401                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect           4451                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect         3556                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                 8007                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                226380451                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount               226375168                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                 152907752                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                 258673377                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        2.354554                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.591123                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock           8000                       # Clock period in ticks (Tick)
system.cpu.lsq0.forwLoads                     3591861                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                   40166                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                  141                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                3401                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                  16084                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                    0                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                      0                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples           38725112                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean              3.099839                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev             5.262496                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9               38531480     99.50%     99.50% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19                88047      0.23%     99.73% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29                79604      0.21%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                  624      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49                   15      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59                   75      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                    5      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                   17      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                    4      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                    1      0.00%     99.93% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109                557      0.00%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119               4236      0.01%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129                 24      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139               3563      0.01%     99.96% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149                504      0.00%     99.96% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159               2767      0.01%     99.96% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169               4117      0.01%     99.98% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179               1680      0.00%     99.98% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189               2667      0.01%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199               1940      0.01%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                132      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                 24      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                 10      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                 22      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249                 18      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259                 18      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269                 13      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279                 21      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289                 17      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299                 92      0.00%     99.99% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows             2818      0.01%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value             1151                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total             38725112                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.rdAccesses                38779072                       # TLB accesses on read requests (Count)
system.cpu.mmu.dtb.wrAccesses                12045285                       # TLB accesses on write requests (Count)
system.cpu.mmu.dtb.rdMisses                     22654                       # TLB misses on read requests (Count)
system.cpu.mmu.dtb.wrMisses                     11374                       # TLB misses on write requests (Count)
system.cpu.mmu.dtb.l2_tlb_Accesses              34028                       # L2 TLB look-ups (Count)
system.cpu.mmu.dtb.l2_tlb_Misses                  270                       # L2 TLB misses (Count)
system.cpu.mmu.dtb.PW_latency                  290017                       # PW latency (Count)
system.cpu.mmu.dtb.PW_number                      134                       # PW Number (Count)
system.cpu.mmu.dtb.PW_average_latency     2164.305970                       # PW Average Latency (Count)
system.cpu.mmu.dtb.L2TLB_l1_miss                  130                       # L1Cache Misses (L2 TLB Miss) (Count)
system.cpu.mmu.dtb.L2TLB_l1_hit                     4                       # L1Cache Hitts (L2 TLB Misses ) (Count)
system.cpu.mmu.dtb.L2TLB_l1_access                134                       # L1Cache Access (L2 TLB Miss) (Count)
system.cpu.mmu.dtb.L2TLB_l2_miss                  130                       # L2Cache Misses (L2 TLB Miss) (Count)
system.cpu.mmu.dtb.L2TLB_l2_hit                     4                       # L2Cache Hitts (L2 TLB Misses ) (Count)
system.cpu.mmu.dtb.L2TLB_l2_access                134                       # L2Cache Access (L2 TLB Miss) (Count)
system.cpu.mmu.dtb.L1TLB_l1_miss                 7090                       # L1Cache Misses (L2 TLB HIT) (Count)
system.cpu.mmu.dtb.L1TLB_l1_hit                 26668                       # L1Cache Hitts (L2 TLB HIT) (Count)
system.cpu.mmu.dtb.L1TLB_l1_access              33758                       # L1Cache Access (L2 TLB HIT) (Count)
system.cpu.mmu.dtb.L1TLB_l2_miss                 1531                       # L2Cache Misses (L2 TLB HIT) (Count)
system.cpu.mmu.dtb.L1TLB_l2_hit                 32227                       # L2Cache Hitts (L2 TLB HIT) (Count)
system.cpu.mmu.dtb.L1TLB_l2_access              33758                       # L2Cache Access (L2 TLB HIT) (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 9678824927500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests (Count)
system.cpu.mmu.itb.wrAccesses                14023385                       # TLB accesses on write requests (Count)
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests (Count)
system.cpu.mmu.itb.wrMisses                         0                       # TLB misses on write requests (Count)
system.cpu.mmu.itb.l2_tlb_Accesses                  0                       # L2 TLB look-ups (Count)
system.cpu.mmu.itb.l2_tlb_Misses                    0                       # L2 TLB misses (Count)
system.cpu.mmu.itb.PW_latency                       0                       # PW latency (Count)
system.cpu.mmu.itb.PW_number                        0                       # PW Number (Count)
system.cpu.mmu.itb.PW_average_latency             nan                       # PW Average Latency (Count)
system.cpu.mmu.itb.L2TLB_l1_miss                    0                       # L1Cache Misses (L2 TLB Miss) (Count)
system.cpu.mmu.itb.L2TLB_l1_hit                     0                       # L1Cache Hitts (L2 TLB Misses ) (Count)
system.cpu.mmu.itb.L2TLB_l1_access                  0                       # L1Cache Access (L2 TLB Miss) (Count)
system.cpu.mmu.itb.L2TLB_l2_miss                    0                       # L2Cache Misses (L2 TLB Miss) (Count)
system.cpu.mmu.itb.L2TLB_l2_hit                     0                       # L2Cache Hitts (L2 TLB Misses ) (Count)
system.cpu.mmu.itb.L2TLB_l2_access                  0                       # L2Cache Access (L2 TLB Miss) (Count)
system.cpu.mmu.itb.L1TLB_l1_miss                    0                       # L1Cache Misses (L2 TLB HIT) (Count)
system.cpu.mmu.itb.L1TLB_l1_hit                     0                       # L1Cache Hitts (L2 TLB HIT) (Count)
system.cpu.mmu.itb.L1TLB_l1_access                  0                       # L1Cache Access (L2 TLB HIT) (Count)
system.cpu.mmu.itb.L1TLB_l2_miss                    0                       # L2Cache Misses (L2 TLB HIT) (Count)
system.cpu.mmu.itb.L1TLB_l2_hit                     0                       # L2Cache Hitts (L2 TLB HIT) (Count)
system.cpu.mmu.itb.L1TLB_l2_access                  0                       # L2Cache Access (L2 TLB HIT) (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 9678824927500                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON 9573231429743                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                  10889                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                 16977971                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                 9686749                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles        1049553                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                  33040664                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles              34972525                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts              226552303                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                  1057                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                 305019                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                1171434                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents               33521455                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands           224299985                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                   548669623                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                 65170049                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                 355768058                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps             223918894                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                   381083                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                    4446                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                4496                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                   6240515                       # count of insts added to the skid buffer (Count)
system.cpu.rob.reads                        311881676                       # The number of ROB reads (Count)
system.cpu.rob.writes                       453005414                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                150000004                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                  226226310                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu_clk_domain.clock                       500                       # Clock period in ticks (Tick)
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts (Volt)
system.iobus.transDist::WriteReq                   48                       # Transaction distribution (Count)
system.iobus.transDist::WriteResp                  48                       # Transaction distribution (Count)
system.iobus.pktCount_system.ruby.l1_cntrl0.sequencer.mem-request-port::system.ruby.l1_cntrl0.sequencer.pio-response-port           96                       # Packet count per connected requestor and responder (Count)
system.iobus.pktCount_system.ruby.l1_cntrl0.sequencer.mem-request-port::total           96                       # Packet count per connected requestor and responder (Count)
system.iobus.pktCount::total                       96                       # Packet count per connected requestor and responder (Count)
system.iobus.pktSize_system.ruby.l1_cntrl0.sequencer.mem-request-port::system.ruby.l1_cntrl0.sequencer.pio-response-port          192                       # Cumulative packet size per connected requestor and responder (Byte)
system.iobus.pktSize_system.ruby.l1_cntrl0.sequencer.mem-request-port::total          192                       # Cumulative packet size per connected requestor and responder (Byte)
system.iobus.pktSize::total                       192                       # Cumulative packet size per connected requestor and responder (Byte)
system.iobus.power_state.pwrStateResidencyTicks::UNDEFINED 9678824927500                       # Cumulative time (in ticks) in various power states (Tick)
system.iobus.reqLayer15.occupancy              108500                       # Layer occupancy (ticks) (Tick)
system.iobus.reqLayer15.utilization               0.0                       # Layer utilization (Ratio)
system.iobus.respLayer3.occupancy               72000                       # Layer occupancy (ticks) (Tick)
system.iobus.respLayer3.utilization               0.0                       # Layer utilization (Ratio)
system.mem_ctrls0.avgPriority_ruby.dir_cntrl0::samples      2933.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls0.priorityMinLatency     0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrls0.priorityMaxLatency     0.000000577500                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrls0.numReadWriteTurnArounds            0                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrls0.numWriteReadTurnArounds            0                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrls0.numStayReadState              18251                       # Number of times bus staying in READ state (Count)
system.mem_ctrls0.numStayWriteState                 0                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrls0.readReqs                       2997                       # Number of read requests accepted (Count)
system.mem_ctrls0.writeReqs                        66                       # Number of write requests accepted (Count)
system.mem_ctrls0.readBursts                     2997                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrls0.writeBursts                      66                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrls0.servicedByWrQ                    66                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrls0.mergedWrBursts                   64                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrls0.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrls0.avgRdQLen                      1.10                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrls0.avgWrQLen                     18.69                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrls0.numRdRetry                        0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrls0.numWrRetry                        0                       # Number of times write queue was full causing retry (Count)
system.mem_ctrls0.readPktSize::0                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls0.readPktSize::1                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls0.readPktSize::2                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls0.readPktSize::3                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls0.readPktSize::4                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls0.readPktSize::5                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls0.readPktSize::6                 2997                       # Read request sizes (log2) (Count)
system.mem_ctrls0.writePktSize::0                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls0.writePktSize::1                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls0.writePktSize::2                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls0.writePktSize::3                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls0.writePktSize::4                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls0.writePktSize::5                   0                       # Write request sizes (log2) (Count)
